iter	RMSE
0	4500.75644
1	4383.96511
2	4258.469665
3	4141.972681
4	4032.234912
5	3928.904468
6	3834.652635
7	3745.217215
8	3659.404603
9	3575.415311
10	3498.585407
11	3432.732287
12	3375.408597
13	3327.254458
14	3265.929248
15	3212.745911
16	3166.372213
17	3127.986351
18	3089.428004
19	3043.213094
20	3001.424147
21	2966.173746
22	2936.042144
23	2899.371595
24	2871.819134
25	2844.666246
26	2819.544202
27	2793.11918
28	2767.871412
29	2740.344308
30	2712.73985
31	2694.412509
32	2671.415796
33	2657.493588
34	2636.926696
35	2619.420632
36	2605.696296
37	2592.156001
38	2573.787261
39	2563.182666
40	2547.519548
41	2530.928168
42	2520.349751
43	2504.384662
44	2495.991621
45	2486.919729
46	2475.051248
47	2465.445447
48	2455.669964
49	2442.979201
50	2431.219079
51	2425.068413
52	2414.755135
53	2404.747889
54	2392.721049
55	2383.543161
56	2375.086807
57	2365.120892
58	2355.379913
59	2348.307849
60	2338.595041
61	2331.577336
62	2327.214378
63	2322.368107
64	2316.029067
65	2309.400163
66	2306.437488
67	2296.094588
68	2290.451743
69	2284.492157
70	2281.184499
71	2277.155027
72	2270.57574
73	2265.733984
74	2262.340192
75	2257.713819
76	2254.079833
77	2248.237492
78	2242.973993
79	2237.61231
80	2233.333202
81	2228.993791
82	2226.1296
83	2223.033027
84	2217.141872
85	2213.861049
86	2211.284009
87	2206.084743
88	2202.747968
89	2200.005636
90	2196.390436
91	2194.649915
92	2190.565898
93	2185.28013
94	2182.931224
95	2179.793181
96	2175.304198
97	2173.35129
98	2168.824455
99	2166.364047
100	2161.429907
101	2157.355293
102	2153.632445
103	2150.07918
104	2147.486708
105	2145.00608
106	2143.050124
107	2139.567457
108	2135.325716
109	2130.086239
110	2124.398136
111	2121.299922
112	2116.227098
113	2114.896271
114	2110.687888
115	2107.811904
116	2105.528332
117	2102.307264
118	2099.356064
119	2095.49752
120	2093.356621
121	2090.75258
122	2085.975181
123	2079.880387
124	2076.525197
125	2074.324559
126	2072.115164
127	2069.373705
128	2066.157566
129	2062.51478
130	2059.824318
131	2056.965254
132	2055.107601
133	2053.10435
134	2051.447923
135	2048.129651
136	2044.78588
137	2042.428015
138	2041.528524
139	2040.023091
140	2036.52428
141	2033.874246
142	2030.701311
143	2029.159888
144	2027.556684
145	2022.112616
146	2020.468355
147	2018.150808
148	2016.418248
149	2013.82468
150	2012.14512
151	2010.048009
152	2006.622252
153	2003.35606
154	2001.859356
155	2000.713546
156	1997.689707
157	1996.432181
158	1993.39036
159	1988.805998
160	1988.118182
161	1986.385014
162	1983.926079
163	1982.270784
164	1980.879481
165	1978.414687
166	1976.927699
167	1975.164834
168	1973.202969
169	1969.485368
170	1966.544988
171	1964.900752
172	1961.987372
173	1959.945775
174	1958.179154
175	1957.403738
176	1955.200343
177	1951.585487
178	1949.383408
179	1948.379462
180	1946.990764
181	1945.470594
182	1943.918171
183	1941.291844
184	1940.237475
185	1937.566824
186	1935.80833
187	1934.242941
188	1932.053437
189	1929.788541
190	1927.17556
191	1926.604236
192	1925.38717
193	1924.002198
194	1921.928849
195	1921.184341
196	1919.730493
197	1917.695296
198	1916.385726
199	1915.631078
200	1913.716791
201	1912.489311
202	1910.959276
203	1909.347929
204	1907.402571
205	1905.558131
206	1904.730933
207	1903.895309
208	1902.358697
209	1901.019393
210	1899.767913
211	1898.041558
212	1895.918081
213	1893.430402
214	1892.505307
215	1890.220129
216	1888.365356
217	1886.905395
218	1883.907117
219	1882.527723
220	1879.127692
221	1878.141373
222	1876.604567
223	1874.528712
224	1872.652527
225	1869.514403
226	1868.00755
227	1866.637968
228	1865.583223
229	1864.59846
230	1863.759664
231	1862.797296
232	1861.943754
233	1861.260635
234	1860.59641
235	1860.006806
236	1857.814055
237	1854.469755
238	1851.67208
239	1850.361032
240	1847.809098
241	1845.956444
242	1845.371787
243	1844.828378
244	1844.191839
245	1843.504943
246	1843.239204
247	1841.718506
248	1840.607985
249	1839.369564
250	1838.820894
251	1838.380988
252	1836.624284
253	1835.16021
254	1833.368052
255	1831.742047
256	1831.186165
257	1830.514376
258	1828.486022
259	1826.782037
260	1825.842046
261	1824.810135
262	1822.898894
263	1820.55039
264	1819.542829
265	1817.887119
266	1817.119512
267	1816.72668
268	1815.290281
269	1813.05771
270	1812.324582
271	1811.614294
272	1810.304609
273	1809.551036
274	1809.074403
275	1807.693144
276	1806.891107
277	1806.668675
278	1806.154377
279	1804.842059
280	1803.268017
281	1802.538293
282	1801.793643
283	1800.308783
284	1799.58739
285	1798.46816
286	1797.532045
287	1796.270521
288	1795.053544
289	1793.40117
290	1792.151126
291	1791.554742
292	1790.16586
293	1788.920379
294	1787.379707
295	1786.005817
296	1783.805265
297	1783.497431
298	1782.91215
299	1782.241514
