iter	Passed	Remaining
0	176	52819
1	181	26983
2	185	18354
3	191	14188
4	197	11623
5	201	9896
6	206	8644
7	210	7700
8	214	6949
9	219	6364
10	225	5927
11	230	5538
12	235	5201
13	238	4874
14	244	4652
15	249	4436
16	254	4239
17	261	4089
18	265	3928
19	273	3823
20	278	3700
21	284	3592
22	289	3490
23	294	3390
24	301	3316
25	306	3230
26	311	3148
27	316	3075
28	322	3017
29	330	2976
30	335	2914
31	341	2856
32	350	2833
33	358	2801
34	363	2750
35	368	2703
36	374	2660
37	380	2624
38	387	2590
39	391	2547
40	397	2512
41	403	2476
42	410	2453
43	417	2427
44	421	2390
45	429	2372
46	437	2353
47	444	2336
48	450	2309
49	458	2291
50	465	2271
51	470	2243
52	475	2214
53	480	2188
54	485	2161
55	490	2137
56	496	2118
57	502	2094
58	506	2070
59	513	2053
60	518	2032
61	525	2017
62	532	2004
63	539	1988
64	546	1976
65	552	1957
66	557	1937
67	563	1922
68	568	1903
69	573	1885
70	579	1867
71	583	1849
72	590	1834
73	594	1817
74	600	1800
75	605	1784
76	610	1769
77	617	1756
78	624	1747
79	630	1733
80	635	1719
81	643	1710
82	650	1699
83	655	1686
84	661	1673
85	666	1658
86	672	1645
87	677	1632
88	682	1619
89	688	1606
90	695	1596
91	701	1586
92	709	1580
93	715	1569
94	721	1557
95	727	1546
96	735	1539
97	742	1531
98	749	1520
99	755	1510
100	761	1500
101	767	1490
102	774	1481
103	780	1470
104	786	1460
105	792	1450
106	799	1442
107	806	1433
108	812	1423
109	818	1414
110	825	1406
111	833	1398
112	839	1389
113	846	1381
114	853	1373
115	861	1367
116	868	1358
117	874	1349
118	883	1343
119	890	1335
120	896	1326
121	903	1318
122	912	1312
123	919	1304
124	925	1296
125	932	1288
126	939	1279
127	946	1271
128	952	1263
129	960	1256
130	968	1249
131	974	1240
132	981	1232
133	989	1226
134	997	1219
135	1003	1210
136	1011	1203
137	1019	1196
138	1027	1189
139	1034	1182
140	1042	1175
141	1050	1169
142	1059	1162
143	1067	1156
144	1072	1146
145	1080	1139
146	1088	1132
147	1096	1126
148	1105	1120
149	1112	1112
150	1120	1105
151	1126	1096
152	1133	1088
153	1138	1079
154	1147	1073
155	1155	1066
156	1163	1059
157	1171	1052
158	1179	1046
159	1187	1039
160	1195	1031
161	1203	1025
162	1211	1018
163	1218	1010
164	1226	1003
165	1233	996
166	1242	989
167	1250	982
168	1255	973
169	1263	966
170	1271	959
171	1280	952
172	1288	945
173	1296	938
174	1304	931
175	1310	923
176	1318	916
177	1326	908
178	1333	901
179	1341	894
180	1349	887
181	1357	879
182	1365	873
183	1373	865
184	1381	858
185	1388	850
186	1396	843
187	1404	836
188	1412	829
189	1420	822
190	1428	815
191	1436	808
192	1444	800
193	1450	792
194	1457	785
195	1465	777
196	1474	771
197	1482	763
198	1488	755
199	1495	747
200	1503	740
201	1512	733
202	1520	726
203	1527	718
204	1535	711
205	1544	704
206	1552	697
207	1559	689
208	1567	682
209	1575	675
210	1583	668
211	1591	660
212	1598	652
213	1605	645
214	1613	637
215	1620	630
216	1627	622
217	1633	614
218	1641	607
219	1649	599
220	1656	592
221	1662	584
222	1670	576
223	1677	569
224	1683	561
225	1691	553
226	1699	546
227	1706	538
228	1713	531
229	1720	523
230	1727	515
231	1735	508
232	1742	500
233	1748	493
234	1756	485
235	1762	478
236	1767	469
237	1774	462
238	1781	454
239	1787	446
240	1794	439
241	1802	431
242	1809	424
243	1816	416
244	1824	409
245	1832	402
246	1839	394
247	1844	386
248	1850	379
249	1856	371
250	1863	363
251	1870	356
252	1877	348
253	1884	341
254	1891	333
255	1899	326
256	1906	319
257	1914	311
258	1922	304
259	1930	297
260	1935	289
261	1941	281
262	1948	274
263	1952	266
264	1959	258
265	1963	250
266	1968	243
267	1973	235
268	1980	228
269	1987	220
270	1992	213
271	1996	205
272	2004	198
273	2010	190
274	2015	183
275	2020	175
276	2026	168
277	2031	160
278	2036	153
279	2040	145
280	2047	138
281	2054	131
282	2059	123
283	2065	116
284	2070	108
285	2075	101
286	2081	94
287	2086	86
288	2092	79
289	2097	72
290	2102	65
291	2113	57
292	2118	50
293	2125	43
294	2130	36
295	2135	28
296	2140	21
297	2144	14
298	2149	7
299	2155	0
